階層,x,y,カテゴリ,担当,タイトル,デスクリプション,画像
3,68,65,中学教室展示,中2A,タナカジノ,未成年でカジノに行けなくてもカジノを楽しめる。子供から大人まで大歓迎‼是非お越しください。,class/j2a
3,90,65,中学教室展示,中2B,しげゆキングダム,自分の城がほしいという赤井先生のために、「しげゆキングダム」を築き上げろ！<br>中学2年B組の教室内にある4つのゲームで資金を稼ぎ、よりゴージャスな城を目指してください！,class/j2b
2,-80,-28,高校教室展示,高2A,桐蔭生格付けチェック,2Aではあの番組でおなじみの格付けチェックを行います。 視覚・聴覚・触覚・嗅覚を用いたクイズを用意しています！ 桐蔭祭を満喫しているそこのあなた！ あなたは本当に「一流桐蔭生」ですか？ 力試しにぜひ2Aへお越しください！,class/h2a
2,-60,-28,高校教室展示,高2B,Habby Potter と不死鳥の一騎団,〜伝説の魔法学校、遂に開校〜<br>ここは、魔法が取り巻く不思議な世界。呪文を唱え、炎を操り、ほうきを乗りこなす生徒たち。あなたも予測不能の魔法体験を今、ここで。ホグワーツ特急があなたのご乗車をお待ち致しております。,class/h2b
2,-40,-28,高校教室展示,高2C,VS2C ～shooting star～,流れてくるタワーをボールで倒すshooting sniperと回転する土台にコインを積むcoin towerの2種類のゲームと宇宙を連想させるフォトスポットを楽しむことができます！<br>2Cで最高に楽しい文化祭の思い出を作りませんか？お待ちしています✧,class/h2c
2,24,-28,高校教室展示,高2D,Dテレ,こんにちはDテレです！ 体験型ピタゴラスイッチやコッシータイムアタックなど、5歳でも高校生でも楽しめるアトラクションがあります！ もしかするとおさるのジョージの垣内テッドが現れるかも！？ ぜひDテレに来てみてください！ ,class/h2d
2,46,-28,高校教室展示,高2E,All To In,2年E組の教室展示カジノALL TOIN です！<br>ポーカー，ブラックジャック，ルーレット，チンチロ，のカジノブースと、本場ラスベガスのカジノをイメージして作ったフォトスポットもあります！桐蔭のラスベガスで運試しをしてみませんか⁉︎,class/h2e
2,68,-28,高校教室展示,高2F,未来視てみま商店,朝目が覚めると、なぜか泣いている。見ていたはずの夢は、いつも思い出せない。ただ、ずっと何かを、誰かを・・・探している。そういう気持ちに取り憑かれたのは、たぶんあの日から。<br>あの・・・2-Fに行った日。,class/h2f
2,90,-28,高校教室展示,高2G,斬王,我々は「斬王」を求むる者である。この桐蔭に強者の存在を予感し、我らが王を求め、はるばるやってきた。<br>我らの精鋭を、そしてこの桐蔭の、他の武豪たちを前にして、ひるまずにいられるか...?<br>いざ、尋常に勝負!!,class/h2g
1,-116,-50,高校模擬店,高3A,マリリン革命,桐蔭國３－A地区に住む愉快な仲間たちによる領主マリリンへの反逆をテーマとした模擬店です。<br>圧倒的安さとその美味しさが自慢のワッフルとホットサンドです。お買い求めの際にはスチームパンク風の可愛さ満点の装飾を、是非ご覧ください。,class/h3a
1,-82,-83,高校模擬店,高3B,3Bazaar,持ち運べる！ピタパン入りの辛さ控えめ具沢山ブリングカレー（250円）と、心煌めく！ひんやり冷たい甘〜いナジュムゼリー（150円）がとーっても美味しい！！店内ではどこで写真を撮っても可愛くなるように小物を沢山作りました！ぜひお手に取って見てくださいね！,class/h3b
1,-116,-10z,高校模擬店,高3C,Cop-shop,3年C組Cop-shopです🚓<br>ここでは、200円のピザと100円のチュロスが食べられます！ピザのパリパリ生地ととろ〜りチーズは五感に響くこと間違いなし☆チュロスはトッピングが選べます！ぜひお越しください！！,class/h3c
1,-28,6,高校模擬店,高3D,萌萌哒,私たちのクラスのテーマは、中国です！推しポイントは、大学芋にバニラアイスを無料でつけられることです！さらには、何種類もの餃子を試食し、選び抜かれた味は太鼓判付きです！<br>是非是非、3D 萌萌哒にお越しください。,class/h3d
1,-58.5,6,高校模擬店,高3E,E-planet,チャーハンとたこさんドック(小さいアメリカンドック)を両方ともこだわりの手料理で提供しています！！<br>写真スポットもあるので是非お友達とかと撮ってってね！,class/h3e
1,-28,26,高校模擬店,高3F,WANTED,富、名声、力、そして学歴、この世の全てを手に入れたFの一族！<br>航海の途中で見つけたスモアとホットドッグという至高の財宝を持って、この文化祭に参上！欲しけれゃくれてやる！この世の全てをFに置いてきた！,class/h3f
1,-89,6,高校模擬店,高3G,シン・夏祭り ～究極の二拓～,焼き鳥はタレ「浸」、塩「振」を、たこ焼きは普通の味「真」、ロシアンルーレットたこ焼き「辛」を用意しています。<br>友達、恋人と一緒にロシアンルーレットに挑戦してみては？<br>さらに！！裏の屋台でゲームをすると…,class/h3g
1,40,0,ステージ,文化祭運営,特設ステージ,今年の文化祭が初開催となる、前日祭のためにつくられる屋外の特設ステージです！ 10日にある前日祭で、校内ぶんだら周遊やバンド演奏が行われる会場です。ぜひ一度足を運んでみてください！,other/honbu
2,-40,155,ステージ,文化祭運営,体育館ステージ,オープニングセレモニーに始まり、中学1年による学年での合唱、中学3年・高校1年による各クラスの演劇に加え、バンドやダンスなどの有志グループによる発表も行われます。例年靴の履き間違いが多発しますのでご注意ください。,other/honbu
1,-80,-28,文化祭本部,文化祭運営,文化祭本部・生徒会,金券の販売・換金(本校生徒は販売のみ)、落とし物を取得された場合などはこちらまでお願いします。その他、何かお困りごとがありましたら対応させていただきますので、お気軽にお尋ねください。,other/honbu
1,-116,25,クラブ模擬店,家庭部,TOINスタバ,スコーン(画像左) 150円 ラスク(画像右) 100円 の2種類のお菓子を販売しています。試作を重ねより美味しくなるように工夫しました!<br>11日の水曜日限定販売となっています。 是非買いに来てください！,club/katei
1,-55,-83,PTA,PTA,TEAM PTA,今年もPTAの方々がジュース・アイスの販売を行ってくださいます！ぜひお買い求めください！！,comingsoon
2,-20,-28,クラブ展示,小倉百人一首部,シン・カルタ部,小倉百人一首部では、ぼうずめくりや神経衰弱などの取り札や読み札を使ったミニゲームや部員と競技かるたで対戦することができます！是非、遊びに来てください！,club/hyakuninisshu
1,-2.5,-95,クラブ展示,創作部,部誌･しおりの配布,部員オリジナルのイラストや漫画、小説等が描かれた部誌と部員制作のしおりを配布しています。部員が長い時間をかけて完成させた良い作品になっているので是非見にきてください！,club/sousaku
2,-2.5,-95,クラブ展示,科学部数学班,数学班ポスター展示,数学班では、数学、化学、物理などの、ポスターを掲載します。少し難しい内容に、なっておりますが、理解すれば、非常に美しく、奥深いものになっています。2階1-2棟間通路で、掲載しています。ぜひ、来てください。,club/kagakusuugaku
2,-75,57.5,クラブ展示,美術部,制作物展示,美術部は今学期に入り、まずは文化祭を目標に描いてきました。油絵、アクリル画、クレオン画など様々な種類の絵が展示されています。絵は分からない、難しい、など思うかもしれませんが気軽に寄ってください。,club/bijutsu
2,-60,57.5,クラブ展示,図書局,晴読雨読,明るい気分になりたいとき、感傷に浸りたいとき。読後にどんな気持ちになるか、その明るさ別に四段階に分けて本を集めてみました。和歌山市民図書館の展示の文化祭Ver.です！ぜひ、本を手にとって楽しんでみてください。,club/tosho1
2,-45,57.5,クラブ展示,華道部,生け花展示,図書室でお花を生けます！中学生3人で頑張りますので、よければ見にきてください！,club/kadou
2,-30,57.5,クラブ展示,園芸部,サシェ制作体験会,文化祭初参戦⁉︎桐蔭高校園芸部です。今回は私たちが育てた「レモングラス」というハーブを使ってサシェ（匂い袋）作り体験をしてもらいます！先着順でプレゼントもあります！絶賛部員募集中です^_^,club/engei
2,2.5,22.5,クラブ展示,図書局,古雑誌販売,数学科職員室では一冊10円〜で古雑誌の販売を行っています。ぜひお買い求めください。販売する古雑誌は以下の通りです。オレンジページ、ジュニアアエラ、大学への数学、ダ・ヴィンチ、旅の手帳、日経エンタテインメント、NATIONAL GEOGRAPHIC、Newton、Number、Seventeen,club/tosho2
2,-20,-28,クラブ展示,囲碁将棋部,将棋対局フリーコーナー,囲碁将棋部の展示では、将棋を自由に指すことが出来ます。将棋部員に挑戦したい方や、友達と楽しく将棋を指したい方はぜひ来てください！,club/igoshougi
1,-90,-125,クラブ展示,茶道部,茶道部お茶会,陰で腰を下ろしながら、茶道部で点てた抹茶と和菓子は如何ですか？<br>皆さんの目の前でお点前を披露致します！<br>茶道部での稽古の成果をぜひご覧下さい。,club/sadou
1,52.5,55,クラブ展示,社会部,社会部検定 ~観光名所~,今年の社会部検定は観光名所(主に今年の巡検先であった大阪城、大阪天満宮など)に基づいた問題を中学生用、初級、上級の3形態で用意しています。景品などの用意もありますので、ぜひお越しください！,club/shakai
1,67.5,55,クラブ展示,写真部,写真展示,高校・中学校写真部です。3棟1階の被服室にて、部員による合作｢カラフル｣と個人作品を展示しています。今回の合作は写真部としては初の試みで、制作にとても苦労しました。ぜひ見て行ってくださると嬉しいです！,club/shashin
